,CI_beijing_in,CI_beijing_out,CI_daejeon_in,CI_daejeon_out,CI_incheon_in,CI_incheon_out,CI_seoul_in,CI_seoul_out,CI_shanghai_in,CI_shanghai_out,Unnamed: 0,Unnamed: 0.1,filename
0,0,0.007,0.051,0.016,0.047,0.042,0.085,0.071,0.014,0.003,0,,07-20.00-00
1,0,0.005,0.051,0.016,0.047,0.042,0.085,0.071,0.014,0.002,1,,07-20.00-01
2,0,0.007,0.044,0.016,0.031,0.049,0.075,0.071,0,0.002,2,,07-20.00-02
3,0,0.002,0.044,0.015,0.031,0.049,0.075,0.059,0,0,3,,07-20.00-03
4,0,0.003,0.044,0.015,0.031,0.049,0.075,0.059,0,0,4,,07-20.00-04
5,0,0.007,0.044,0.015,0.031,0.049,0.075,0.059,0,0,5,,07-20.00-05
6,0,0.008,0.044,0.015,0.03,0.049,0.075,0.059,0,0,6,,07-20.00-06
7,0,0.01,0.03,0.015,0.024,0.049,0.075,0.05,0,0.002,7,,07-20.00-07
8,0,0.009,0.03,0.004,0.024,0.036,0.067,0.05,0,0,8,,07-20.00-08
9,0,0.012,0.03,0.004,0.024,0.036,0.067,0.05,0,0,9,,07-20.00-09
10,0,0.01,0.03,0.004,0.024,0.036,0.067,0.05,0,0,10,,07-20.00-10
11,0,0.012,0.03,0.004,0.026,0.036,0.067,0.05,0,0.002,11,,07-20.00-11
12,0,0.013,0.04,0.012,0.034,0.033,0.067,0.056,0,0.002,12,,07-20.00-12
13,0,0.014,0.04,0.012,0.034,0.032,0.056,0.055,0,0.002,13,,07-20.00-13
14,0,0.014,0.04,0.012,0.034,0.032,0.056,0.055,0,0.004,14,,07-20.00-14
15,0,0.012,0.04,0.012,0.034,0.032,0.056,0.055,0,0.002,15,,07-20.00-15
16,0,0.011,0.04,0.012,0.034,0.032,0.056,0.056,0,0.002,16,,07-20.00-16
17,0,0.009,0.042,0.012,0.038,0.033,0.056,0.056,0,0.002,17,,07-20.00-17
18,0,0.008,0.042,0.013,0.038,0.034,0.07,0.051,0,0.002,18,,07-20.00-18
19,0,0.008,0.042,0.013,0.038,0.034,0.07,0.051,0,0.003,19,,07-20.00-19
20,0,0.007,0.042,0.013,0.038,0.034,0.07,0.051,0,0.003,20,,07-20.00-20
21,0,0.007,0.042,0.013,0.037,0.034,0.07,0.051,0,0.003,21,,07-20.00-21
22,0,0.008,0.038,0.013,0.035,0.034,0.069,0.051,0,0.004,22,,07-20.00-22
23,0,0.009,0.038,0.008,0.035,0.024,0.059,0.052,0,0.004,23,,07-20.00-23
24,0,0.009,0.038,0.008,0.035,0.024,0.059,0.052,0,0,24,,07-20.00-24
25,0,0.011,0.038,0.008,0.035,0.024,0.059,0.052,0,0,25,,07-20.00-25
26,0,0.012,0.038,0.008,0.033,0.024,0.059,0.052,0,0,26,,07-20.00-26
27,0,0.012,0.042,0.008,0.037,0.026,0.065,0.048,0,0,27,,07-20.00-27
28,0,0.009,0.042,0.011,0.037,0.026,0.07,0.048,0,0,28,,07-20.00-28
29,0,0.011,0.042,0.011,0.037,0.026,0.07,0.048,0,0.006,29,,07-20.00-29
30,0,0.012,0.042,0.011,0.037,0.026,0.07,0.048,0,0.006,30,,07-20.00-30
31,0,0.011,0.042,0.011,0.038,0.03,0.07,0.048,0,0.006,31,,07-20.00-31
32,0,0.01,0.045,0.011,0.032,0.03,0.07,0.054,0,0.006,32,,07-20.00-32
33,0,0.01,0.045,0.005,0.032,0.027,0.068,0.046,0,0.006,33,,07-20.00-33
34,0,0.011,0.045,0.005,0.032,0.027,0.068,0.046,0,0.005,34,,07-20.00-34
35,0,0.01,0.045,0.005,0.032,0.027,0.068,0.046,0,0.005,35,,07-20.00-35
36,0,0.009,0.045,0.005,0.032,0.027,0.068,0.046,0,0.005,36,,07-20.00-36
37,0,0.012,0.044,0.005,0.03,0.027,0.062,0.046,0,0.003,37,,07-20.00-37
38,0,0.008,0.044,0.008,0.03,0.031,0.062,0.052,0,0.003,38,,07-20.00-38
39,0,0.008,0.044,0.008,0.03,0.031,0.062,0.052,0,0.003,39,,07-20.00-39
40,0,0.008,0.044,0.008,0.03,0.031,0.062,0.052,0,0.004,40,,07-20.00-40
41,0,0.008,0.044,0.008,0.03,0.031,0.062,0.052,0,0.005,41,,07-20.00-41
42,0,0.009,0.036,0.008,0.045,0.03,0.061,0.06,0,0.005,42,,07-20.00-42
43,0,0.008,0.036,0.014,0.045,0.026,0.054,0.067,0,0.005,43,,07-20.00-43
44,0,0.007,0.036,0.014,0.045,0.026,0.054,0.067,0,0.003,44,,07-20.00-44
45,0,0.005,0.036,0.014,0.045,0.026,0.054,0.067,0,0.003,45,,07-20.00-45
46,0,0.002,0.036,0.014,0.05,0.026,0.054,0.067,0,0.003,46,,07-20.00-46
47,0,0.002,0.029,0.014,0.039,0.024,0.054,0.056,0,0.003,47,,07-20.00-47
48,0,0.004,0.029,0.008,0.039,0.026,0.063,0.058,0,0.003,48,,07-20.00-48
49,0,0.004,0.029,0.008,0.039,0.026,0.063,0.058,0,0.002,49,,07-20.00-49
50,0,0.004,0.029,0.008,0.039,0.026,0.063,0.058,0,0.002,50,,07-20.00-50
51,0,0.005,0.029,0.008,0.039,0.026,0.063,0.058,0,0.002,51,,07-20.00-51
52,0,0.005,0.031,0.008,0.042,0.026,0.045,0.056,0,0.002,52,,07-20.00-52
53,0,0.003,0.031,0.01,0.042,0.026,0.043,0.058,0,0,53,,07-20.00-53
54,0,0.005,0.031,0.01,0.042,0.026,0.043,0.058,0,0,54,,07-20.00-54
55,0,0.004,0.031,0.01,0.042,0.026,0.043,0.058,0,0,55,,07-20.00-55
56,0,0.003,0.031,0.01,0.047,0.026,0.043,0.058,0,0,56,,07-20.00-56
57,0,0.002,0.022,0.01,0.05,0.026,0.037,0.054,0,0,57,,07-20.00-57
58,0,0.002,0.022,0.008,0.05,0.031,0.037,0.052,0,0,58,,07-20.00-58
59,0,0.002,0.022,0.008,0.05,0.031,0.037,0.052,0,0,59,,07-20.00-59
60,0,0.005,0.022,0.008,0.05,0.031,0.037,0.052,0,0,60,,07-20.01-00
61,0,0.002,0.022,0.008,0.052,0.031,0.037,0.052,0,0,61,,07-20.01-01
62,0,0.004,0.018,0.008,0.053,0.034,0.037,0.058,0,0,62,,07-20.01-02
63,0,0.004,0.018,0.014,0.053,0.036,0.04,0.056,0,0,63,,07-20.01-03
64,0,0.002,0.018,0.014,0.053,0.036,0.04,0.056,0,0,64,,07-20.01-04
65,0,0,0.018,0.014,0.053,0.036,0.04,0.056,0,0,65,,07-20.01-05
66,0,0.001,0.018,0.014,0.047,0.036,0.04,0.056,0,0,66,,07-20.01-06
67,0,0.004,0.024,0.014,0.047,0.029,0.049,0.056,0,0,67,,07-20.01-07
68,0,0.005,0.024,0.014,0.047,0.029,0.046,0.06,0,0,68,,07-20.01-08
69,0,0.005,0.024,0.014,0.047,0.029,0.046,0.06,0,0,69,,07-20.01-09
70,0,0.005,0.024,0.014,0.047,0.029,0.046,0.06,0,0,70,,07-20.01-10
71,0,0.006,0.024,0.014,0.048,0.029,0.046,0.06,0,0,71,,07-20.01-11
72,0,0.006,0.021,0.014,0.046,0.033,0.059,0.066,0,0,72,,07-20.01-12
73,0,0.005,0.021,0.014,0.046,0.032,0.055,0.059,0,0,73,,07-20.01-13
74,0,0.006,0.021,0.014,0.046,0.032,0.055,0.059,0,0,74,,07-20.01-14
75,0,0.007,0.021,0.014,0.046,0.032,0.055,0.059,0,0,75,,07-20.01-15
76,0,0.006,0.022,0.014,0.042,0.032,0.055,0.059,0,0,76,,07-20.01-16
77,0,0.008,0.022,0.014,0.043,0.029,0.053,0.063,0,0,77,,07-20.01-17
78,0,0.008,0.019,0.017,0.043,0.028,0.062,0.063,0,0,78,,07-20.01-18
79,0,0.006,0.019,0.017,0.043,0.028,0.062,0.063,0,0,79,,07-20.01-19
80,0,0.005,0.019,0.017,0.043,0.028,0.062,0.063,0,0,80,,07-20.01-20
