,Node,Road ,Start,End,Xs,Ys,Xe,Ye,Length(m),Illegal Parking,IllegalParking_index
4,0,R1,2,1,126.6431528,37.4043603,126.6423589,37.4048908,91.7,0,0
0,N1,R1,1,2,126.6423589,37.4048908,126.6431528,37.4043603,91.7,0,0
7,0,R2,3,2,126.6447864,37.4031976,126.6431528,37.4043603,193.8,0,0
2,N2,R2,2,3,126.6431528,37.4043603,126.6447864,37.4031976,193.8,0,0
10,0,R3,4,3,126.6464084,37.4020984,126.6447864,37.4031976,188.4,0,0
5,N3,R3,3,4,126.6447864,37.4031976,126.6464084,37.4020984,188.4,0,0
13,0,R4,5,4,126.6479591,37.4010475,126.6464084,37.4020984,180.2,0,0
8,N4,R4,4,5,126.6464084,37.4020984,126.6479591,37.4010475,180.2,0,0
16,0,R5,6,5,126.6496561,37.3999237,126.6479591,37.4010475,195.3,0,0
11,N5,R5,5,6,126.6479591,37.4010475,126.6496561,37.3999237,195.3,0,0
19,0,R6,7,6,126.6500702,37.3996266,126.6496561,37.3999237,49.3,0,0
27,0,R14,19,6,126.648864,37.3991795,126.6496561,37.3999237,108.4,0,0
14,N6,R6,6,7,126.6496561,37.3999237,126.6500702,37.3996266,49.3,0,0
22,0,R7,8,7,126.6514099,37.3987089,126.6500702,37.3996266,156.4,0,0
31,0,R15,20,7,126.6492781,37.3989016,126.6500702,37.3996266,106.7,0,0
17,N7,R7,7,8,126.6500702,37.3996266,126.6514099,37.3987089,156.4,0,0
24,0,R8,9,8,126.6520898,37.3978575,126.6514099,37.3987089,122.9,0,0
34,0,R19,21,8,126.6506564,37.3980104,126.6514099,37.3987089,102.3,0,0
20,N8,R8,8,9,126.6514099,37.3987089,126.6520898,37.3978575,122.9,0,0
52,0,R21,22,9,126.6508152,37.3966265,126.6520898,37.3978575,218.3,0,0
1,0,R9,1,10,126.6423589,37.4048908,126.6407442,37.4033844,220,0,0
3,0,R10,2,11,126.6431528,37.4043603,126.6415218,37.4028377,222.3,0,0
6,0,R11,3,12,126.6447864,37.4031976,126.6431467,37.4017251,218.6,0,0
9,0,R12,4,13,126.6464084,37.4020984,126.6447782,37.400611,219.3,0,0
12,0,R13,5,14,126.6479591,37.4010475,126.6463833,37.3995149,220,0,0
37,0,R26,15,14,126.6480171,37.3983869,126.6463833,37.3995149,191.3,0,0
26,0,R16,19,15,126.648864,37.3991795,126.6480171,37.3983869,115.6,0,0
41,0,R27,16,15,126.6484298,37.3981222,126.6480171,37.3983869,46.9,0,0
55,0,R35,28,15,126.6463728,37.3968777,126.6480171,37.3983869,221.9,0,0
29,0,R17,20,16,126.6492781,37.3989016,126.6484298,37.3981222,114.6,0,0
35,N15,R27,15,16,126.6480171,37.3983869,126.6484298,37.3981222,46.9,0,0
45,0,R28,17,16,126.6491253,37.3976814,126.6484298,37.3981222,78.7,16,0.203303685
58,0,R36,29,16,126.6471179,37.3968734,126.6484298,37.3981222,180.8,0,0
39,N16,R28,16,17,126.6484298,37.3981222,126.6491253,37.3976814,78.7,16,0.203303685
48,0,R29,18,17,126.6498316,37.3972384,126.6491253,37.3976814,79.6,0,0
62,0,R37,30,17,126.647754,37.3964389,126.6491253,37.3976814,183.7,3,0.016330974
32,N21,R20,21,18,126.6506564,37.3980104,126.6498316,37.3972384,112.6,0,0
43,N17,R29,17,18,126.6491253,37.3976814,126.6498316,37.3972384,79.6,0,0
51,0,R30,22,18,126.6508152,37.3966265,126.6498316,37.3972384,110.4,0,0
65,0,R38,31,18,126.6484701,37.3959714,126.6498316,37.3972384,185.2,0,0
15,0,R14,6,19,126.6496561,37.3999237,126.648864,37.3991795,108.4,0,0
30,0,R92,20,19,126.6492781,37.3989016,126.648864,37.3991795,47.9,0,0
38,0,R16,15,19,126.6480171,37.3983869,126.648864,37.3991795,115.6,0,0
18,0,R15,7,20,126.6500702,37.3996266,126.6492781,37.3989016,106.7,0,0
25,N19,R92,19,20,126.648864,37.3991795,126.6492781,37.3989016,47.9,0,0
33,0,R18,21,20,126.6506564,37.3980104,126.6492781,37.3989016,157.1,0,0
42,0,R17,16,20,126.6484298,37.3981222,126.6492781,37.3989016,114.6,0,0
21,0,R19,8,21,126.6514099,37.3987089,126.6506564,37.3980104,102.3,0,0
28,N20,R18,20,21,126.6492781,37.3989016,126.6506564,37.3980104,157.1,0,0
49,0,R20,18,21,126.6498316,37.3972384,126.6506564,37.3980104,112.6,0,0
23,N9,R21,9,22,126.6520898,37.3978575,126.6508152,37.3966265,218.3,0,0
46,N18,R30,18,22,126.6498316,37.3972384,126.6508152,37.3966265,110.4,0,0
93,0,R39,44,22,126.647382,37.3934429,126.6508152,37.3966265,466.1,0,0
54,0,R44,28,27,126.6463728,37.3968777,126.6447594,37.3980065,190,0,0
36,0,R35,15,28,126.6480171,37.3983869,126.6463728,37.3968777,221.9,0,0
79,0,R54,40,28,126.644771,37.3953656,126.6463728,37.3968777,219.7,0,0
40,0,R36,16,29,126.6484298,37.3981222,126.6471179,37.3968734,180.8,0,0
61,0,R45,30,29,126.647754,37.3964389,126.6471179,37.3968734,74.1,0,0
68,0,R93,32,29,126.6465168,37.3963356,126.6471179,37.3968734,80,0,0
44,0,R37,17,30,126.6491253,37.3976814,126.647754,37.3964389,183.7,3,0.016330974
56,N29,R45,29,30,126.6471179,37.3968734,126.647754,37.3964389,74.1,0,0
64,0,R46,31,30,126.6484701,37.3959714,126.647754,37.3964389,81.9,0,0
72,0,R94,33,30,126.647153,37.39588916,126.647754,37.3964389,81,0,0
47,0,R38,18,31,126.6498316,37.3972384,126.6484701,37.3959714,185.2,0,0
59,N30,R46,30,31,126.647754,37.3964389,126.6484701,37.3959714,81.9,0,0
75,0,R95,34,31,126.6478425,37.3954054,126.6484701,37.3959714,83.9,0,0
57,0,R93,29,32,126.6471179,37.3968734,126.6465168,37.3963356,80,0,0
71,0,R47,33,32,126.647153,37.39588916,126.6465168,37.3963356,75,0,0
83,0,R55,41,32,126.6451462,37.3950832,126.6465168,37.3963356,184.5,0,0
60,0,R94,30,33,126.647754,37.3964389,126.647153,37.39588916,81,0,0
66,N32,R47,32,33,126.6465168,37.3963356,126.647153,37.39588916,75,0,0
74,0,R48,34,33,126.6478425,37.3954054,126.647153,37.39588916,81.3,0,0
86,0,R56,42,33,126.6457652,37.3946234,126.647153,37.39588916,186.6,1,0.005359057
63,N31,R95,31,34,126.6484701,37.3959714,126.6478425,37.3954054,83.9,0,0
69,N33,R48,33,34,126.647153,37.39588916,126.6478425,37.3954054,81.3,0,0
90,0,R57,43,34,126.6464843,37.3941132,126.6478425,37.3954054,187.2,0,0
78,0,R62,40,35,126.644771,37.3953656,126.6430803,37.3964869,194.7,0,0
53,N28,R54,28,40,126.6463728,37.3968777,126.644771,37.3953656,219.7,0,0
82,0,R63,41,40,126.6451462,37.3950832,126.644771,37.3953656,45.7,0,0
96,0,R72,53,40,126.6439046,37.3946124,126.644771,37.3953656,113.5,0,0
67,0,R55,32,41,126.6465168,37.3963356,126.6451462,37.3950832,184.5,0,0
76,N40,R63,40,41,126.644771,37.3953656,126.6451462,37.3950832,45.7,0,0
85,0,R64,42,41,126.6457652,37.3946234,126.6451462,37.3950832,74.9,0,0
99,0,R73,54,41,126.6443387,37.394317,126.6451462,37.3950832,111.1,0,0
70,0,R56,33,42,126.647153,37.39588916,126.6457652,37.3946234,186.6,1,0.005359057
80,N41,R64,41,42,126.6451462,37.3950832,126.6457652,37.3946234,74.9,0,0
89,0,R65,43,42,126.6464843,37.3941132,126.6457652,37.3946234,85.2,0,0
73,N34,R57,34,43,126.6478425,37.3954054,126.6464843,37.3941132,187.2,0,0
84,N42,R65,42,43,126.6457652,37.3946234,126.6464843,37.3941132,85.2,0,0
92,0,R66,44,43,126.647382,37.3934429,126.6464843,37.3941132,108.9,0,0
102,0,R74,55,43,126.6456917,37.3933973,126.6464843,37.3941132,106,17,0.160377358
50,N22,R39,22,44,126.6508152,37.3966265,126.647382,37.3934429,466.1,0,0
87,N43,R66,43,44,126.6464843,37.3941132,126.647382,37.3934429,108.9,0,0
112,0,R75,52,44,126.645802,37.3920028,126.647382,37.3934429,212.4,38,0.178907721
105,0,R84,50,49,126.6431083,37.3938519,126.6414559,37.3949863,193,0,0
95,0,R76,53,50,126.6439046,37.3946124,126.6431083,37.3938519,110,0,0
108,0,R85,51,50,126.6448622,37.3926481,126.6431083,37.3938519,204.9,0,0
115,0,R90,59,50,126.642198,37.3930329,126.6431083,37.3938519,121.5,0,0
100,N55,R77,55,51,126.6456917,37.3933973,126.6448622,37.3926481,110.9,0,0
103,N50,R85,50,51,126.6431083,37.3938519,126.6448622,37.3926481,204.9,0,0
111,0,R86,52,51,126.645802,37.3920028,126.6448622,37.3926481,109.8,0,0
91,N44,R75,44,52,126.647382,37.3934429,126.645802,37.3920028,212.4,38,0.178907721
107,N51,R86,51,52,126.6448622,37.3926481,126.645802,37.3920028,109.8,0,0
117,0,R95,60,52,126.645058,37.3913314,126.645802,37.3920028,99.5,0,0
77,0,R72,40,53,126.644771,37.3953656,126.6439046,37.3946124,113.5,0,0
98,0,R78,54,53,126.6443387,37.394317,126.6439046,37.3946124,50.5,0,0
106,0,R76,50,53,126.6431083,37.3938519,126.6439046,37.3946124,110,0,0
81,0,R73,41,54,126.6451462,37.3950832,126.6443387,37.394317,111.1,0,0
94,N53,R78,53,54,126.6439046,37.3946124,126.6443387,37.394317,50.5,0,0
101,0,R79,55,54,126.6456917,37.3933973,126.6443387,37.394317,157.4,20,0.127064803
88,0,R74,43,55,126.6464843,37.3941132,126.6456917,37.3933973,106,17,0.160377358
97,N54,R79,54,55,126.6443387,37.394317,126.6456917,37.3933973,157.4,20,0.127064803
109,0,R77,51,55,126.6448622,37.3926481,126.6456917,37.3933973,110.9,0,0
114,0,R93,59,58,126.642198,37.3930329,126.638819,37.3951179,378.3,0,0
104,0,R90,50,59,126.6431083,37.3938519,126.642198,37.3930329,121.5,0,0
116,N60,R94,60,59,126.645058,37.3913314,126.642198,37.3930329,315.9,19,0.060145616
110,N52,R95,52,60,126.645802,37.3920028,126.645058,37.3913314,99.5,0,0
113,N59,R94,59,60,126.642198,37.3930329,126.645058,37.3913314,315.9,19,0.060145616
202,N7,R7,7,80,126.6500702,37.3996266,126.6514099,37.3987089,156.4,0,0
201,0,R8,9,80,126.6520898,37.3978575,126.6514099,37.3987089,122.9,0,0
200,0,R19,21,80,126.6506564,37.3980104,126.6514099,37.3987089,102.3,0,0
