,Road,Start,End,Xs,Ys,Xe,Ye,Length(m),Illegal_Count,IllegalParking_index
0,R19,8,21,126.6514099,37.3987089,126.6506564,37.3980104,102.3,0,0
1,R20,21,18,126.6506564,37.3980104,126.6498316,37.3972384,112.6,0,0
2,R30,18,22,126.6498316,37.3972384,126.6508152,37.3966265,110.4,0,0
3,R39,22,44,126.6508152,37.3966265,126.647382,37.3934429,466.1,0,0
4,R75,44,52,126.647382,37.3934429,126.645802,37.3920028,212.4,38,0.178907721
5,R95,52,60,126.645802,37.3920028,126.645058,37.3913314,99.5,0,0
6,R94,60,59,126.645058,37.3913314,126.642198,37.3930329,315.9,19,0.060145616
7,R90,59,50,126.642198,37.3930329,126.6431083,37.3938519,121.5,0,0
8,R76,50,53,126.6431083,37.3938519,126.6439046,37.3946124,110,0,0
9,R78,53,54,126.6439046,37.3946124,126.6443387,37.394317,50.5,0,0
10,R79,54,55,126.6443387,37.394317,126.6456917,37.3933973,157.4,20,0.127064803
11,R74,55,43,126.6456917,37.3933973,126.6464843,37.3941132,106,17,0.160377358
12,R65,43,42,126.6464843,37.3941132,126.6457652,37.3946234,85.2,0,0
13,R56,42,33,126.6457652,37.3946234,126.647153,37.39588916,186.6,1,0.005359057
14,R94,33,30,126.647153,37.39588916,126.647754,37.3964389,81,0,0
15,R37,30,17,126.647754,37.3964389,126.6491253,37.3976814,183.7,3,0.016330974
16,R28,17,16,126.6491253,37.3976814,126.6484298,37.3981222,78.7,16,0.203303685
17,R17,16,20,126.6484298,37.3981222,126.6492781,37.3989016,114.6,0,0
18,R15,20,7,126.6492781,37.3989016,126.6500702,37.3996266,106.7,0,0
19,R7,7,8,126.6500702,37.3996266,126.6514099,37.3987089,156.4,0,0
