Location ,Count,Y,X
910) ???? ????2???? ??????,1767,37.3935549,126.649617
910_???? ????2???? ??????,668,37.3935549,126.649617
914) ???? ?????????? ??,343,37.3933835,126.6469289
914_???? ?????????? ??,126,37.3933835,126.6469289
920_?????????? ?? ??????,5,37.3798851,126.6460127
921) ????????7???? ?? ??????,48,37.393696,126.64596
921_???????? 7???? ?? ??????,401,37.393696,126.64596
922) ???????? 2???? ?? ??????,72,37.4004283,126.636079
922_???????? 2???? ?? ??????,465,37.4004283,126.636079
927) KEB???????? ??,23,37.4188239,126.609503
927_KEB???????? ??,2008,37.4188239,126.609503
928) ???????????? 201?? ??,2,37.3844804,126.6726838
928_???????????? 201?? ??,21,37.3844804,126.6726838
929) ?????? 2???? ??????,56,37.3885769,126.6346987
929_?????? 2???? ??????,441,37.3885769,126.6346987
930) ???????????????? 8???? ??,130,37.3927168,126.6435126
930) ???????????????? 8???? ??,8,37.3927168,126.6435126
930_???????????????? 8???? ??,1809,37.3927168,126.6435126
931) ???????????????? 2???? ??,6,37.3973552,126.6484842
931) ???????????????? 2???? ??,2,37.3973552,126.6484842
931_???????????????? 2???? ??,42,37.3973552,126.6484842
932) ???????????????? 1???? ?? ??????,14,37.3979668,126.6488446
932_???????????????? 1???? ?? ??????,165,37.3979668,126.6488446
934) ??????????????????2,2,37.3814788,126.6549862
935) ?????????????????? ?????? ??,2,37.3839188,126.6581093
935_?????????????????? ?????? ??,79,37.3839188,126.6581093
936) ?????????? ??,217,37.3942352,126.6446617
936_?????????? ??,988,37.3942352,126.6446617
937) ???????? ?????????????? ???? ??,191,37.3957525,126.650206
937_???????? ?????????????? ???? ??,1071,37.3957525,126.650206
938) ?????????????????? ???? ??,46,37.391605,126.6427899
938_?????????????????? ???? ??,313,37.391605,126.6427899
939) ???????????? ???????? ???? ??,137,37.3772435,126.6524168
939_???????????????????? ???? ??,606,37.3772435,126.6524168
942_????????1,1,"37.389186,",126.632738
943) ???????? ??????2 ?????????????? ??????,1,"37.389187,",126.632738
943_????????2,7,37.3910278,126.633105
944) ???? IBS???? ??,16,37.3961117,126.6321385
944_???? IBS???? ??,315,37.3961117,126.6321385
945) ?????????????????? 1??,12,37.397502,126.6353146
945_???? ???????? ???? ??,1,37.4004283,126.636079
946) ???? ?????????????? 708?? ??,33,37.4004283,126.636079
946_???? ?????????????? 708?? ??,825,37.4004283,126.636079
947) ?????????? ???? ??????,43,37.390658,126.6350104
947_???? ?????????? ???? ??????,2,37.390658,126.6350104
